instruction,(製品の)使用書、指示、教育
vague,あいまいな、不明確な
ministry,省
evidence,証拠、根拠、証言
via,～の手段によって、～経由で
blast,爆発、爆破、突風
due,支払期日になって、（当然）支払われる（べき）
bill,請求書、法案、紙幣
previously,以前に
thaw,解凍される、溶ける
concede,（しぶしぶ）…と認める
encounter,に遭遇する
disregard,を無視する、を軽視する
ruin,を台無しにする、を駄目にする
ecosystem,生態系
contaminate,を汚染させる、を汚す、を堕落させる
shame,残念［遺憾］なこと、恥、不名誉
vehicle,車、（特に陸上の）乗り物、輸送機関、伝達手段
enhance,を増す、を高める
construct,(建物など)を建設する、(機械など)を組み立てる
critical,批判的な、重大な
manufacture,を（大量に）生産［製造］する
infrastructure,インフラ、基本的施設、経済基盤
reinforce,を補強する、を強化する
intense,極度の、激しい
misleading,誤解させる、紛らわしい
assistance,援助、支援
criminal,犯人、犯罪者
intend,～することを意図する
exceed,を超える、に勝る
tax,税金、税
chief,主な、最高位の
candidate,候補者、志願者
hinder,を妨げる、を邪魔する
fusion,融合（物）、（政党などの）連立
ensure,…ということを確実にする、を保証する
exhale,（息・煙・言葉など）を吐き出す
sufficient,十分な
despite,～にもかかわらず
cholesterol,コレステロール
occur,（予期しない出来事が）起こる
nest,（鳥の）巣
curse,呪い、呪文、ののしり言葉
cruel,残酷な
specific,明確な、特定の
habitat,（動植物の）生息場所、（人の）居住地
overlap,（時間などが）一部かち合う、部分的に重複［共通］する
excel,優れている、に勝る
pose,（問題など）を引き起こす、を提起する
justice,正義、公正、司法、裁判
diagram,図（表）、グラフ
aside,脇に、別にして、考慮に入れないで
fragile,壊れやすい、もろい
signature,署名、サイン
facilitate,を促進する、を容易にする
consecutive,連続した
stroll,ぶらぶら歩く、散歩する
combat,を撲滅しようとする、と交戦する
drag,を引きずる
resident,居住者
sturdy,頑丈な、たくましい、不屈の
massive,大量の、大規模な、巨大な
swell,増大する、腫れる
fare,（乗り物の）運賃、料金
civilization,文明
supply,生活必需品、供給、支給
counterfeit,偽造の、偽の
employment,雇用、職
atmosphere,雰囲気、大気（圏）
fragment,破片、かけら
inspire,に創造的刺激を与える、を奮起させる
generous,気前のよい、寛大な
pledge,を誓う、を誓約する
withstand,に耐える、に逆らう
downfall,破滅、転落、（雨・雪などの）大降り
autonomous,自治の、自主的な
mold,カビ
horizontal,水平な
monopoly,（商品・事業などの）独占、独占権
removal,除去、移動
postpone,を延期する
conventional,伝統的な、型にはまった
likelihood,可能性、見込み
imply,…と暗に示す、をほのめかす
decode,（暗号・符号）を解読する
dioxide,二酸化物
narrative,話、物語
typically,通常、概して、典型的に
rebel,反抗する、反逆する
measure,措置、程度、基準
overdo,を使い過ぎる、をやり過ぎる
shallow,浅薄な、浅い
collision,衝突、対立
underestimate,を過小評価する
gently,優しく、静かに
labor,労働、労働力
barrier,障害（物）、障壁
endeavor,～しようと（懸命に）努力する、を（真剣に）試みる
dictate,を命令する、を決定づける、を書き取らせる
quantity,分量、量
prove,であることがわかる、と判明する、を証明する
crucial,重大な、決定的な
sociology,社会学
circuit,周回すること、回路、巡回
diameter,直径
victim,被害者、（病気・事故などの）犠牲者
session,会議、集会、会期
infant,幼児、乳児
penetrate,を貫く、の内部に入る、に浸透する
ancestor,先祖、祖先
weapon,兵器、武器
disgust,嫌悪、反感
gross,総計の、全体の
token,（気持ちなどの）しるし、記念品
simplify,を簡単にする
verify,の正しさを確認する、を実証する
swarm,大群
obstacle,障害（物）
ecologist,生態学者、環境保護論者
remarkable,…と述べる
roam,歩き回る、放浪する
weed,雑草、草
biased,偏った、偏見を持った
engage,を従事させる、を引きつける、を雇う
mandatory,義務的な、強制的な、命令の
legally,法的に、合法的に
overthrow,（政府・体制など）を打倒する
scheme,計画、陰謀
coverage,入江、小湾
depth,深さ、深み
description,描写、説明
awful,ひどい、不愉快な
spontaneous,自然発生的な、自発的な
administer,を管理する、を経営する、を治める、（治療）を施す
exile,（国外）追放、（国外）追放者、亡命者
buzz,（場所が）ざわつく、どよめく
demonstrate,を実演してみせる、を論証［証明］する
import,を輸入する
guidance,指導、案内
solid,確実な、固体の、頑丈な
injury,傷害、けが
quote,が～を述べたと伝える、を引用する
deceive,をだます
outrageous,法外な、途方もない、けしからぬ
commit,（罪・過失など）を犯す、を委託する
termite,シロアリ
invisible,見えない
loyal,忠実な
graphic,図、挿絵
funeral,葬式
stroke,脳卒中、（強い）発作、（武器などで）打つこと
acoustic,音響（学）の、聴覚の
scan,をざっと見る、を注意深く眺め回す
underground,地下の、秘密の
artificial,人工の、不自然な
promotion,昇進、促進、販売促進
intensive,集中的な、徹底的な
domestic,国内の、家庭の
participation,参加
transparent,透明な、見えすいた
refund,返金、払い戻し（金）
enterprise,事業、企業
coincidence,偶然の一致
upbringing,（子供の）養育、しつけ
urgent,緊急の、切迫した
premature,早過ぎる、（判断などが）早まった
primarily,主として、初めに
solitary,ひとりの、孤独の
wither,（植物などが）しおれる
commendable,賞賛されるべき、立派な
replicate,（同一実験など）を繰り返す、を複製する
counterpart,対応［相当］する人［もの］
diploma,卒業［修了］証書、（学位・資格の）証明書
coastal,沿岸（地方）の
suppress,(思い・感情など)を抑える、(暴動など)を制圧する
enclose,を取り囲む、（封筒などに）を同封する
reject,を拒絶する、を拒否する
theft,盗み、窃盗
memorable,忘れられない、記憶すべき
treasure,宝物、貴重品
dehydration,脱水（症状）
diet,(日常の)食べ物、療養食
direct,を案内する、を指揮する
obstruct,をふさぐ、を妨害する
operate,（機械など）を動かす、を運営する
eruption,勃発、噴火
income,所得、収入
inactive,不活発な、停止中の
inhale,を吸い込む
insistent,強く主張する、執拗な
impose,（規則・税・罰金など）を課［科］す、を押し付ける
faulty,（機械・装置などが）欠陥のある
grumble,不平を述べる
sue,を訴える、を告訴する
consume,を消費する、を使い果たす
doubtful,（物・事が）疑わしい、（人が）疑わしく思う
archive,（文書など）を保管する
industrial,産業の、工業の
heritage,遺産、相続財産
resent,に憤慨する
transportation,交通［輸送］機関、輸送
perspective,観点、見通し、遠近画法
drastic,思い切った、徹底的な
charitable,慈善の、慈悲深い
strategy,戦略、策略
fossil,化石、時代遅れの人［もの］
permanently,永遠に、いつも
application,申請書、申し込み、適用
restrict,(大きさ・数量・範囲など)を制限する
ransom,身代金、（身代金などによる）解放
globalization,グローバル化
workforce,総従業員、（１国・１産業などの）労働人口
spectacle,（印象的な）光景、壮観、見もの
artifact,人工遺物、工芸品
lightning,雷、稲妻
involvement,関与、巻き込まれること
amend,を改正する、を修正する
custody,親権、保護、管理、拘留
altogether,完全に
root,根本、源、（植物の）根
refusal,拒否、拒絶
reliable,信頼できる
problematic,問題のある、疑わしい
subsequently,その後、続いて
excerpt,抜粋、引用
scenic,景色の良い
tease,をからかう、をいじめる
mercy,慈悲
recurrent,（周期的に）繰り返される、（病気などが）再発する
ascend,（を）登る、上がる
consistent,着実な、安定した、首尾一貫した
protective,保護する、守ろうとする
decay,虫歯になる、腐る、衰退する
headquarters,本社、（軍、警察、会社などの）本部
creativity,創造性、独創力
tuition,授業料、（個人）指導
departure,出発
option,選択肢、選択（の自由）
riddle,なぞなぞ、不可解な人［もの、事実］
glance,ちらりと見る
literacy,（特定分野の）知識、技能、読み書きの能力
bait,誘惑物、（釣り針・わなにつける）餌
territory,領土、領地
physics,物理学
coarse,粗い、粗野な
imbalance,不均衡、アンバランス
luxury,ぜいたく（品）
access,接近（の手段）、利用の機会
oppose,に反対する
resort,訴える、頼る
apparently,(真偽のほどはともかく)聞いた[見た]ところでは、どうやら
circumstance,状況、事情
prevention,予防、防止、妨害
persistent,執拗な、固執する、持続する
illogical,筋の通らない、不合理な
facility,施設、機能、才能
site,用地、場所、遺跡
stance,立場、対処の姿勢
methodology,方法論、研究方法
jail,を投獄［拘置］する
nutritious,栄養になる
stumble,つまずく、よろめきながら歩く
hygiene,衛生（状態）、清潔
slight,（量、程度などが）わずかな
botanical,植物の、植物学（上）の
undergraduate,大学生
former,以前の、元の、前者
align,を一直線に並べる
stir,（騒ぎなど）を引き起こす、（液体など）をかき回す
gossip,うわさ話をする
harmless,害のない
settlement,開拓地、解決、合意
regard,を見なす
coalition,連立、合同
plantation,(熱帯・亜熱帯の)(大)農園
consult,に相談する、（辞書など）を調べる
advanced,進歩した、前進した、上級の
define,を定義する、を明確に示す
stem,（草木の）茎
mean,意地の悪い、不親切な
elaborate,精巧な、入念な
arise,起こる、出現する
magnify,を拡大する、を誇張する
wound,傷、負傷
stray,迷い出る、（考えなどが）わきへそれる
sensory,感覚の、知覚の
predator,捕食動物、略奪者
initiate,を新たに始める
rubber,ゴム、ゴム製品
exert,を行使する、努力する
steady,着実な、一定した、固定された
valid,法的に有効な、理にかなった
portray,（絵・写真などで）を描写する
infect,（人）を感染させる、を汚染する
administration,管理、政府
outsource,を外注する、を業務委託する
superior,優れている、勝っている
janitor,（アパート・ビル・学校などの）用務員、管理人
converge,集まる、集中する
adjust,を調節する、順応する
syndrome,症候群、シンドローム
virtually,ほとんど、実質的に
latter,後半の、後の方の、後者の
disprove,の誤りを証明する、の反証を挙げる
pregnant,妊娠した
otherwise,そうでなければ、そのほかの点では
collaboration,合作、共同、協力
corporation,大企業、株式会社
deceptive,人を惑わすような
livestock,（牛・羊・豚などの）家畜（類）
temper,（一時的な）機嫌、怒り、（特に怒りっぽい）気質
additional,追加の、付加的な
personnel,職員、人員、人事課
barn,家畜小屋、（農家の）納屋
dominate,を支配する、優勢である
authentic,本物の、真正の
conservative,保守的な
vote,投票する、を投票で決める
encouraging,勇気づける、望みを持たせる
friction,不和、摩擦
fracture,骨折、割れ目、裂け目
chemical,化学薬品[物質]、薬物
alternate,（2つの状態の間を）行き来する、交互に起こる
recipient,受取人、（臓器などを提供者から）受ける人
uncertain,はっきりわからない、（人が）革新がない
behavioral,行動の
indicate,を指し示す
scold,（特に子供）をしかる
stern,（顔つきなどが）いかめしい、厳格な
storage,保管、貯蔵（法）、収容力
sequel,続編、結果
falsify,を偽造する
nutrition,栄養（物）
horrible,実にひどい、ぞっとする
intake,摂取量、（空気、水などの）取り入れ
insight,見識、洞察力
literally,文字どおり、まさしく
affect,に影響を及ぼす
reception,歓迎会、受付、（テレビなどの）受信状態
load,（車・飛行機・船など）に積む
nod,（頭）を軽く下げる、うなずく
completion,完了、完成
deliberately,故意に、慎重に
chatter,くだらないおしゃべり
generate,を発生させる、を引き起こす
mutual,相互の
economist,経済学者
furious,激怒した
reduction,減少、削減
structure,建造物、構造
trivial,取るに足りない
democratic,民主主義の、民主的な
depict,を描く、を描写する
geometry,幾何学
isolated,孤立した、孤独な
revenue,（国・自治体の）歳入、収益、（定期）収入
distinguish,区別する、を区別する
satisfaction,満足
launch,を売り出す、を開始する、（ロケットなどを）発射する
deduct,を控除する、を減じる
resource,資源、資金、財産
errand,（人の）使い、用足し
limited,限定された、わずかの
resolve,（問題など）を解決する、を決意する
appearance,外観、出現
agricultural,農業の、農耕の
fortune,財産、幸運、運命
irresponsible,無責任な
target,を目標［対象］とする
uniquely,比類なく、独特に
admit,…と（しぶしぶ）認める、を中に入れる
sensitive,敏感な、傷つきやすい
workplace,職場
impressive,印象的な、感動的な
enable,（人）に～できるようにする
subscription,予約購読（料）、寄付（金）
alternative,代替の、どちらか一方の
interrupt,（人の話・行動など）を妨げる、を中断する
present,を提示する、を進呈する
institution,機関、施設、慣習
attain,を獲得する、を達成する
revive,を生き返らせる、を復活させる
detour,迂回（路）、回り道
app,アプリ
celebrity,有名人、著名人
toll,（災害・戦争・病気などによる）損失、死傷者数、（道路などの）使用[通行]料金
genuine,本物の
leftover,（特に食事の）残りもの
conquest,征服、（欠点・課題などの）克服
blockage,（港湾などの）封鎖、経済［通信］封鎖
fake,偽の、偽造の
opt,選ぶ
asteroid,小惑星
legitimate,合法的な、もっともな
CEO,最高経営責任者
register,を登録する、を示す、名前を登録する
tense,緊迫した、緊張した
consequently,その結果（として）、従って
escort,を護衛［護送］する、に付き添う
makeup,構成、構造、化粧
blister,水ぶくれ
tempt,を誘惑する、を引きつける
minimum,最低限
endorse,を推奨する、を是認する、を支持する
lenient,寛大な
skeleton,骨格、骸骨、（建物などの）骨組み
foundation,基礎、基盤
grain,穀物、穀類
lean,傾く、寄りかかる
cherish,を大事[大切]にする、をいつくしむ
climatic,気候（上）の、風土の
diminish,減少する、を減じる
attractive,魅力的な
amuse,を楽しませる
preserve,を保護する
consequence,結果、重要さ
humble,謙虚な、地位［身分］などが低い
curve,カーブする、曲がる
supervisor,監督者、管理者
presume,を～であると推定する、と推定する
abundant,豊富な
claim,…と主張する[言い張る]、を要求する
unfamiliar,（人が）不慣れな、精通していない、（物事が）よく知られていない
briefly,少しの間、簡潔に
allege,（証拠なしに）…と主張する
intimate,（場所・状況が）くつろげる、心地よい、（人が）親しい、親密な
reputation,評判、名声
ecological,環境の、生態（学）の
maintenance,保守、整備、維持
convey,を伝える、を運ぶ
sculpture,彫像、彫刻
edge,優勢、刃、端
chart,グラフ、図、図表
definitely,間違いなく、確かに
lawn,芝生
famine,飢饉
leisure,自由な時間、余暇
stare,じっと見つめる
fictitious,架空の、偽りの
range,範囲、領域
advocate,を主張する、を弁護する
suck,（指・あめなど）をなめる、（液体など）を吸う
stereotype,固定観念、ステレオタイプ
geological,地質（学）上の
moderate,中くらいの、適度な、穏健派の
attachment,添付ファイル、添付書類
revolt,暴動［反乱］を起こす、をむかむかさせる
reflect,を反映する、を反射する、を熟考する
anxiety,不安、心配
tariff,関税
recognition,（人・物が）それと分かること、認めること、認識
sneak,こっそり動く
fund,資金、現金
curious,好奇心の強い、詮索好きな
fulfill,（約束・任務など）を果たす、（条件・要求など）を満たす
emerge,明らかになる、現れる
notably,とりわけ
wander,（当てもなく）歩き回る、ぶらつく
archaeologist,考古学者
equator,赤道
destruction,破壊、破滅
enormous,並外れた、莫大な
indefinite,限定されない、不定の、はっきりしない
last,続く、継続する、(天候・体力・食品などが）持ちこたえる、長持ちする
physician,内科医、医師
tighten,を固く締める、を強化する
widespread,広範囲にわたる
basis,根拠、基礎
burden,負担、重荷、荷物
surrounding,周囲の状況、環境
standby,（いざというとき）頼りになるもの［人］、交代要員
checkup,健康診断、検査
commission,代理手数料、歩合、委員会
surgeon,外科医
secretary,秘書
strive,懸命に努力する
maternity,妊産婦の、母であること
federal,連邦政府の、米国（政府）の
applaud,に拍手する、を賞賛する
adolescent,青年期の人
pedestrian,歩行者
wholly,完全に、全く
resist,に抵抗する、に耐える
riot,暴動
wicked,悪意のある、意地の悪い
delegate,（権限・責任など）を委譲［委任］する、を代表として派遣する
mediate,調停する、仲裁する
Mediterranean,地中海（沿岸地域）の
unpleasant,不愉快な、いやな
reintroduce,（動植物など）をかつての分布域に再導入する、（制度など）を復活させる
multiple,多数の、多様な
tremendous,（大きさ、数量、程度などが）途方もない
cordial,心温まる、心からの
outbreak,（戦争・病気・怒りなどの）突発、勃発、発生
bribe,を買収する
exotic,異国風［情緒］の、風変わりな、外来の
obligation,義務、責任
tame,飼いならされた、おとなしい
disconnect,（人）のインターネットへの接続を切る、の接続を絶つ
vulnerable,弱い、傷付きやすい
genius,天賦の才、天才（的な人）
factor,要因、要素
scorn,軽蔑、侮蔑
realistic,現実的な、実際的な
applicant,応募者、志願者
triple,3倍になる、を3倍にする
remote,人里離れた、遠い
marine,海洋の、海の
reform,を改革する、を改善する
strangle,（発展・活動など）を抑圧する、を窒息させる
fatigue,（相当の）疲労
distinct,はっきりと分かる、明らかに異なる
heighten,を高める、を増大させる
obscure,不明瞭な、世に知られていない
incredible,信じられない、驚くほどの
bulb,電球、球根
protest,（に）抗議する、（に）異論を唱える
courtesy,丁重さ、礼儀正しさ
illegal,違法の、非合法の
absence,不在、欠席
decline,減少する、を丁重に断る
depression,うつ病、意気消沈、不景気
résumé,履歴書、要約
random,無作為の、任意の
primitive,（技術が）単純な、原始的な、未開の
scratch,を引っかく
oblige,～せざるを得ない、やむを得ず～する
ignition,（エンジンの）点火装置、点火
medication,（医者が処方した）薬、医療品、薬物治療
fasten,をしっかり留める、を固定する
testament,あかし、証拠
contemplate,～しようと考える、を熟考する
strain,重圧、緊張
heating,暖房(装置)
inherit,（遺伝で）を受け継ぐ、を相続する
rehearsal,（劇・音楽などの）リハーサル、下げいこ
spiritual,精神的な、精神の
bulky,かさばった、扱いにくいほど大きい
nuclear,原子力利用の、核エネルギーの
distribution,分配、配給
frequency,頻度、しばしば起こること
equivalent,相当する、同等の
worsen,悪化する、を悪化させる
concept,概念
robbery,強盗（事件）
foster,を促進する、（里子として）を育てる
broad,（幅の）広い、広範囲な
availability,（入手の）可能性、有用［有効］性
ad,広告
founder,創設者
uncover,（遺跡など）を発掘する、の覆いを取る、を明るみに出す
outstanding,際立った、優れた、未払いの
pierce,に穴を開ける、を突き通す
tremble,震える
substitute,代わり(となるもの[人])
blow,強打、打撃、災難
doom,運命づけられている
submit,を提出する、屈する
loudly,大声で、騒々しく
overrate,過大評価される
despise,を軽蔑する、をひどく嫌う
pharmacy,薬屋、薬局
competence,能力、適格
allergy,アレルギー
lawsuit,（民事）訴訟
feast,祝宴、ごちそう、楽しませてくれるもの
ballot,投票、投票用紙、投票総数
modify,を（部分的に）修正［変更］する、を和らげる
troop,軍隊、兵隊
determine,を決定する、を確定する
grant,助成金、奨学金
statistics,統計（資料）、統計学
enforce,（規則など）を守らせる、を施行する、を強制する
victorious,勝利を得た、勝ち誇った
grasp,を理解する、をしっかりと握る
carve,を彫って作る
bold,大胆な、勇敢な
willing,～するのをいとわない、快く～する
merely,単なる、ただの、単に
argument,議論、口論
setback,（進歩・発展の）妨げ、支障
apprentice,見習い（工）、初心者
mechanical,機械の、機械的な
competitive,競争のある、格安の、競争の
cattle,牛(の群れ)
preparation,準備、支度
era,時代
struggle,(逆境にあって)懸命に努力する、奮闘する
estimate,…と推定する、を見積もる
ironic,皮肉な、反語的な
adore,が大好きである、を敬愛する
on-the-job,実地の、職場での
donate,を寄付する、（臓器・血液）を提供する
expectancy,期待、見込み
sanitation,公衆衛生（学）、下水設備
landfill,ごみ埋め立て地
sphere,範囲、球
impaired,～に障害のある、弱った、損なわれた
copper,銅
stimulate,を刺激する、を激励する
vaccine,ワクチン
improper,不適切な、無作法な
monarch,君主
prompt,迅速な
dye,を～色に染める、を染める、染まる
abruptly,突然に
inject,を注射［注入］する
warranty,保証（書）
ship,を出荷する、を輸送する
pessimistic,悲観的な
gut,腸、消化管、内臓
convince,を説得して～させる、を納得させる
evolution,進化、発展、展開
meditation,瞑想、黙想
risky,危険な
boast,自慢する
propose,を提案する、結婚を申し込む
numerous,非常に数の多い、たくさんの
relay,を伝達する、を取り次ぐ、を中継で送る
conform,従う、一致する
burial,埋葬
post,（インターネットで）（情報・メッセージ）を投稿する、（ビラなど）を張る
mainstream,主流の
inherent,固有の、生来の
honor,を賞賛する、に与える、を尊敬する
undergo,を経験する
harbor,港、避難所
bargain,（売買の）交渉をする
presidential,大統領の［による］、社長の
eligible,資格のある
underlying,潜在的な、根本的な
violate,（法律・協定・約束など）を破る
outline,の要点を述べる、の輪郭を描く
interpret,を解釈する、を通訳する
peer,同僚、仲間、同等［対等］の者
precise,正確な、厳格な
tip,秘訣、チップ
uneasy,不安な、心配な、落ち着かない
mud,ぬかるみ、泥
herd,（牛・羊などの）群れ
expel,を追放する
defensive,防御的な
corrupt,不正な、（道徳的に）堕落した
component,構成部品［部分、要素］
landmark,歴史的建造物、目印、画期的な出来事
tale,（事実・伝説・架空の）話、（文学作品としての）物語
influx,（人・物の）殺到、（水・空気の）流入
brand,ブランド、銘柄
ambassador,大使
insurance,保険
monument,(人・事件などの)記念碑[塔]
inquiry,問い合わせ、質問、調査
designate,を指定する、を任命［指名］する
amazing,驚くべき
retail,を小売りする
subject,被験者、主題、学科
compound,化合物、複合物
obesity,（病的な）肥満
blurry,ぼやけた、不鮮明な
overdue,支払期限を過ぎた、（予定の日時より）遅れた
witness,目撃者、（法廷に立つ）証人
extinction,(家系・種などの)絶滅、消滅
somehow,何とかして、とにかく
dense,（霧・雲などが）濃い、（人・物が）密集した
internal,内部の、内側の、国内の
alongside,～と一緒に、～と並んで
counter,…と反論する、に反対する
halt,を中止する、を停止させる
current,現在の、現代の
crisis,危機、難局
surpass,（範囲・限度など）を超える、に勝る
questionable,疑わしい
empathy,共感、感情移入
affair,事情、事柄、問題
complimentary,無料の、賞賛する
thrill,をわくわく［ぞくぞく］させる
obvious,明らかな
election,選挙
brick,れんが
sophisticated,洗練された、精巧な
discourse,講演、論文
highlight,を強調する、を目立たせる
confess,白状［自白］する、を白状する
coherent,（議論などが）一貫した、筋の通った
overhear,を偶然耳にする
thumb,（手の）親指
invoice,明細請求書、納品書
integral,不可欠な、必要な
seasonal,季節（ごと）の
attentive,注意深い
aid,援助、助けとなる人
detention,拘置、留置
irrational,不合理な
assumption,（確証のない）仮定、想定、思い込み
declare,を宣言する、を断言する
mode,方法、様式
restore,を修復する、を復活させる
binding,拘束力のある、義務を負わせる
means,手段、方法
possession,所有物、財産、所有
drone,ドローン、（無線操作の）無人機
canyon,峡谷
demote,を降格する
negotiate,交渉する、を交渉して取り決める
desperate,絶望的な、強く望んで、必死の
proficient,堪能な、熟達した
quota,割当量［数］、ノルマ
texture,手［肌］触り、感触、食感
contract,契約（書）、請負
longevity,長寿
bureau,（官庁の）局、事務所［局］
warehouse,倉庫
political,政治の、政治に関する
supplementary,補足の、追加の
notorious,悪名高い、有名な
wreck,残骸、難破（船）
pottery,陶器類、焼き物類
complaint,苦情、不平
medieval,中世の
issue,（声明など）を出す、を発行する
tolerant,寛容な、包容力のある
feature,特徴、特集記事
firm,会社、商社
feeble,病弱な、（体が）弱々しい
interpersonal,人間［対人］関係の
visibility,視界、視野、目に見えること
intentionally,故意に、意図的に
assert,…と主張する、を断言する
symptom,症状、兆候
vulgar,下品な、無作法な
comprise,で構成される、を含む、を構成する
esteem,尊敬、尊重
procedure,手順、手続き
recruit,（新会員・新社員など）を募集［勧誘］する
requirement,必要条件、必需品
continent,大陸、（イギリスから見て）ヨーロッパ大陸
gender,（社会的・文化的）性別、ジェンダー
equality,平等
segment,部分、区分
exceptional,例外的に優れた、まれな
aquatic,（動植物が）水生の、水の
accumulate,を蓄積する、を集める
glide,滑らかに動く、音もなく移動する
representative,代表者、代理人
debt,借金、負債、恩義
forbid,を禁じる
abuse,を虐待する、を悪用する
devise,を考案する
tender,柔らかい、優しい
principle,（個人の）主義、信条、原則
profitable,利益になる、有利な
fatal,致命的な、破滅的な
compel,（人）に強いて～させる
prevalent,蔓延している、広くいきわたっている
misery,惨めさ、悲惨さ
workout,運動、（運動競技の）練習
complex,複雑な、複合（体）の
adverse,不利な、反対の
general,全体の、一般的な
redundant,不要な、余分な、（表現などが）冗長な
practice,(社会の)慣習、しきたり、練習、実践
ingredient,材料、成分、要素
command,命令、指図、（外国語など）を自由に使える能力
noticeable,著しい、目立つ
clause,（法律・条約などの）条項、（文の）節
diversity,多様性
irresistible,抵抗できない、非常に魅力的な
reluctant,気が進まない
resume,を再開する
property,不動産、財産、特性
element,（構成）要素、成分
detain,を勾留［留置］する、を引き留める
treaty,（国家間の）条約、協定
virus,ウイルス、ウイルス(性）疾患
costly,費用のかかる、高価な、犠牲［損失、労力］の大きな
breakup,（人間関係の）解消、別れ
nightmare,悪夢、（悪夢のような）恐ろしい経験
per,～につき、～ごとに
correlation,相互［相関］関係
brutal,残酷な、無情な
accompany,と一緒に行く、に付随する
absorb,を吸収する、を熱中させる
disposal,処分、売却
invest,(金など)を投資する
scandal,スキャンダル、不正行為
province,（カナダ・フランス・中国などの）州、県、省
skeptical,懐疑的な
subjective,主観的な
venue,会場、開催地
basement,地階、地下室
edition,（刊行物の）版
extend,を延長する、を伸ばす
rewarding,満足が得られる、報われる
ache,痛む、うずく
elsewhere,どこかほかのところで［に、へ］
mimic,をまねる
vacant,（部屋・座席などが）空いている、使用されていない
media,マスメディア、マスコミ
congestion,混雑、密集
psychology,心理学
expire,（権利などの）期限が切れる、終了する
capture,を捕らえる、を捕虜にする
